Symbol,Number,Density,Molar volume,BCCefflatcnt,NfUnfilled,NpUnfilled,BCCenergy_pa,Thermal conductivity,IsMetal,MendeleevNumber,BCCvolume_pa,IsFBlock,BCCfermi,Velocity of sound,IsNonmetal,CovalentRadius,GSefflatcnt,GSvolume_pa,BCCvolume_padiff,SpaceGroupNumber,GSestFCClatcnt,NdUnfilled,GSmagmom,BoilingT,Row,GSestBCClatcnt,Electronegativity,BulkModulus,MeltingT,NsValence,Van der waals radius,BCCbandgap,NUnfilled,HeatFusion,IsMetalloid,HeatCapacityMolar,Column,NdValence,BCCenergydiff,Liquid range,IsDBlock,NfValence,NpValence,AtomicWeight,GSenergy_pa,Polarizability,FirstIonizationEnergy,NsUnfilled,phi,BCCmagmom,GSbandgap,ICSDVolume,AtomicVolume,IsAlkali,NValance,HeatCapacityMass
K,19,856,45.94,10.48781656,0,0,-1.096516,100,1,3,72.1,0,-0.05407911,2000,0,203,10.53640175,73.10666667,-1.006666667,229,6.637517176,0,0,1032,4,5.268200874,0.82,3.1,336.53,1,2.75,0,1,2.335,0,29.6,1,0,1.02E-03,695.47,0,0,0,39.0983,-1.097539713,43.23,4.3406633,1,2.25,0,0,75.63,75.84786468,1,1,0.757
Ca,20,1550,26.2,8.383034541,0,0,-1.92725921,200,1,7,36.82,0,2.89542357,3810,0,176,8.454520649,37.77,-9.50E-01,225,5.326014266,0,0,1757,4,4.227260324,1,17,1115,2,2.31,0,0,8.54,0,25.929,2,0,2.11E-02,642,0,0,0,40.078,-1.948329565,25.73333333,6.11316,0,2.55,0,0,44.19,42.9371873,1,2,0.647
Sc,21,2985,15,7.08202821,0,0,-6.17209116,16,1,11,22.2,0,4.45180104,0,0,170,7.085748043,22.235,-3.50E-02,194,4.463741557,9,6.35E-06,3103,4,3.542874021,1.36,57,1814,2,2.11,0,9,14.1,0,25.52,3,1,0.11342193,1289,1,0,0,44.955912,-6.28551309,17.8,6.56149,0,3.25,0,0,24.96,25.00931092,0,3,0.568
Ti,22,4507,10.64,6.45883252,0,0,-7.66126811,22,1,43,16.84,0,2.97615095,4140,0,160,6.439598241,16.69,0.15,194,4.056692689,8,2.25E-05,3560,4,3.219799121,1.54,110,1941,2,2,0,8,14.15,0,25.06,4,2,0.11395901,1619,1,0,0,47.867,-7.77522712,14.6,6.82812,0,3.8,0,0,17.67,17.63631716,0,4,0.524
V,23,6110,8.32,5.926510976,0,0,-8.93926069,31,1,46,13.01,0,6.45502198,4560,0,153,5.926510976,13.01,0.00E+00,229,3.733467966,7,0,3680,4,2.963255488,1.63,160,2183,2,2,0,7,21.5,0,24.89,5,3,0.00E+00,1497,1,0,0,50.9415,-8.93926069,12.4,6.74619,0,4.25,0,0,13.88,13.84489822,0,5,0.489
Cr,24,7140,7.23,5.6328007,0,0,-9.50480758,94,1,49,11.17,0,7.97704267,5940,0,139,5.636160558,11.19,-2.00E-02,229,3.550558664,5,0,2944,4,2.818080279,1.66,160,2180,1,2,0,6,21,0,23.35,6,5,9.09E-04,764,1,0,0,51.9961,-9.50571654,11.6,6.76651,1,4.65,0,0,12.01,12.09293747,0,6,0.449
Mn,25,7470,7.35,5.519599495,0,0,-8.87041076,7.8,1,52,10.51,0,7.57494268,5150,0,139,5.515672974,10.48758621,2.24E-02,217,3.474656242,5,0.000310121,2334,4,2.757836487,1.55,120,1519,2,2,0,5,12.91,0,26.32,7,5,0.15015449,815,1,0,0,54.938045,-9.02056525,9.4,7.43402,0,4.45,0.8185729,0,12.2,12.21270447,0,7,0.479
Fe,26,7874,7.09,5.557846759,0,0,-8.28548436,80,1,55,10.73,0,6.45149343,4910,0,132,5.557846759,10.73,0,229,3.501224062,4,2.1106628,3134,4,2.778923379,1.83,170,1811,2,2,0,4,13.81,0,25.1,8,6,0,1323,1,0,0,55.845,-8.28548436,8.4,7.9024,0,4.93,2.1106628,0,11.78,11.77736497,0,8,0.449
Co,27,8900,6.67,5.507318082,0,0,-6.98008657,100,1,58,10.44,0,6.14041474,4720,0,126,5.472813497,10.245,1.95E-01,194,3.447656463,3,1.5484712,3200,4,2.736406748,1.88,180,1768,2,2,0,3,16.2,0,24.81,9,7,0.100302575,1432,1,0,0,58.933195,-7.080389145,7.5,7.88101,0,5.1,1.6840372,0,11.12,10.99586068,0,9,0.421
Ni,28,8908,6.59,5.487907316,0,0,-5.43913904,91,1,61,10.33,0,5.09579251,4970,0,124,5.48613588,10.32,1.00E-02,225,3.456049039,2,0.5953947,3186,4,2.74306794,1.91,180,1728,2,1.63,0,2,17.48,0,26.07,10,8,1.07E-01,1458,1,0,0,58.6934,-5.54632457,6.8,7.6398,0,5.2,0.0645672,0,10.86,10.94128444,0,10,0.444
